year,total,civilians,events,gdp
1989,448,195,16,42105263157.8947
1990,0,0,0,38995454545.4545
1991,0,0,0,28998684210.5263
1992,0,0,0,25121666666.6667
1993,0,0,0,26362894736.8421
1994,0,0,0,30074440483.3837
1995,0,0,0,37662075750.123
1996,0,0,0,37182938696.0752
1997,0,0,0,35838588169.6429
1998,0,0,0,41976002703.9207
1999,0,0,0,36183003978.3474
2000,0,0,0,37438527799.5302
2001,0,0,0,40716836998.0386
2002,0,0,0,46174557555.5892
2003,0,0,0,59867801204.8193
2004,0,0,0,76216441462.1442
2005,0,0,0,99697566667.8107
2006,0,0,0,123533036667.85301
2007,0,0,0,171536685395.56302
2008,0,0,0,208181626900.631
2009,0,0,0,167422949529.4
2010,0,0,0,167998080493.40802
2011,0,0,0,185362855081.02103
2012,0,0,0,171664638717.49
2013,0,0,0,191549024910.60397
2014,0,0,0,199493490982.92102
2015,0,0,0,177522705145.168
2016,0,0,0,186690595273.12
