year,total,civilians,events,gdp
1989,160,21,6,506500154001.466
1990,393,23,28,516814258695.568
1991,340,22,56,517962962962.96295
1992,1,1,1,460290556900.726
1993,145,4,12,435083713850.83704
1994,485,112,31,395077301248.464
1995,1910,224,205,395531066563.296
1996,2764,478,147,391719993756.82794
1997,13,2,5,404926534140.017
1998,7,0,3,270953116950.026
1999,6197,1238,67,195905767668.56198
2000,4333,1429,176,259708496267.33
2001,992,219,159,306602673980.117
2002,1503,359,385,345110438692.185
2003,539,84,73,430347770731.78705
2004,1317,519,253,591016690742.798
2005,674,48,247,764017107992.391
2006,260,11,152,989930542278.695
2007,182,4,145,1299705247685.76
2008,410,20,192,1660844408499.61
2009,697,24,315,1222643696991.85
2010,481,49,245,1524916112078.87
2011,396,50,241,2031768558635.85
2012,525,7,223,2170143623037.67
2013,365,48,179,2230625004653.55
2014,170,3,72,2063662281005.13
2015,86,2,31,1365865245098.18
2016,73,1,27,1283162348132.89
