year,total,civilians,events,gdp
1989,0,0,0,2405021932.89997
1990,2644,1018,36,2550185618.14774
1991,1102,932,38,1911600969.76612
1992,943,856,32,2029026704.0270698
1993,959,624,35,1971525998.87685
1994,501961,501191,263,753636370.454546
1995,4141,4141,5,1293535010.94467
1996,309,232,38,1382334879.40812
1997,4698,4287,68,1851558301.7002
1998,1737,653,65,1989343495.2184398
1999,29,0,1,1817655328.06755
2000,0,0,0,1734938264.47371
2001,2044,1,22,1674685094.01639
2002,0,0,0,1677447150.10691
2003,0,0,0,1845979298.99285
2004,16,0,1,2089188828.7970002
2005,0,0,0,2581465863.8785896
2006,0,0,0,3152016556.51526
2007,0,0,0,3824811913.2286897
2008,0,0,0,4860576609.21568
2009,2,2,1,5379378135.44102
2010,0,0,0,5774003744.2708
2011,0,0,1,6491683831.5094
2012,13,2,4,7315702176.36442
2013,4,1,3,7622526429.08839
2014,0,0,0,8016288347.03577
2015,0,0,0,8261034257.63248
2016,0,0,0,8376048904.58291
