year,total,civilians,events,gdp
1989,0,0,0,95344459279.0387
1990,0,0,0,117630271802.48
1991,91,0,4,132223268484.752
1992,0,0,0,137087876662.752
1993,0,0,0,132967901424.38199
1994,0,0,0,135174886501.23401
1995,0,0,0,143343036351.096
1996,0,0,0,158662398750.805
1997,0,0,0,165963557420.458
1998,0,0,0,146775498092.612
1999,0,0,0,161716960000.0
2000,0,0,0,189514926222.667
2001,0,0,0,184137469724.863
2002,0,0,0,189605920240.51602
2003,26,26,2,215807655244.42398
2004,91,36,41,258742133333.333
2005,31,0,17,328459608764.111
2006,11,2,3,376900133511.34796
2007,2,0,2,415964509673.115
2008,0,0,0,519796800000.0
2009,0,0,0,429097866666.66705
2010,0,0,0,528207200000.0
2011,0,0,0,671238840108.229
2012,0,0,0,735974843348.6641
2013,0,0,0,746647127407.619
2014,0,0,0,756350347320.381
2015,110,47,38,654269902888.715
2016,115,21,26,646438380568.715
