year,total,civilians,events,gdp
1989,121,2,11,4913065110.5316105
1990,84,26,14,5716644272.046921
1991,16,16,7,5617236032.865561
1992,135,59,16,6004885321.34354
1993,285,79,30,5678827998.8247
1994,0,0,0,3877196914.93966
1995,330,31,39,4878719133.22771
1996,5,2,2,5065830414.04947
1997,366,66,32,4672503920.19866
1998,344,108,31,5030344074.0413
1999,31,14,9,5144045359.98185
2000,56,20,23,4679604753.55711
2001,47,21,12,4877602059.5098295
2002,45,36,15,5333862371.27113
2003,39,0,5,6858952880.10003
2004,3,0,1,8031344381.09898
2005,1,0,1,8707015771.00113
2006,129,2,6,9358710935.433659
2007,0,0,0,11284603070.5653
2008,11,2,3,13428461873.5568
2009,19,9,11,12809044977.5918
2010,19,3,9,12937300245.1506
2011,37,12,14,14368348214.2024
2012,23,4,10,14202389641.9262
2013,8,3,4,14810978041.4667
2014,0,0,0,15308965398.5779
2015,0,0,0,13609978076.4224
2016,0,0,0,14765462631.3216
