year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,0.0
1991,3295,181,250,0.0
1992,342,15,89,0.0
1993,0,0,0,0.0
1994,0,0,0,0.0
1995,0,0,2,16750000000.0
1996,2,0,3,20948677839.851
1997,9,0,5,24147996549.5662
1998,1446,286,221,18284194680.3844
1999,2173,1286,341,18409364146.9794
2000,0,0,0,6540247190.33529
2001,0,0,1,12267175481.2542
2002,0,0,0,16116843146.4806
2003,0,0,0,21188704081.2428
2004,0,0,0,24861483280.6339
2005,0,0,0,26252007830.4639
2006,0,0,0,30607991862.4843
2007,0,0,0,40289556656.1455
2008,0,0,0,49259526052.7426
2009,0,0,0,42616653299.9115
2010,0,0,0,39460357730.5224
2011,0,0,0,46466728666.6103
2012,0,0,0,40742313861.1374
2013,0,0,0,45519650911.4138
2014,0,0,0,44210806365.6817
2015,0,0,0,37160332465.1645
2016,0,0,0,37745114708.3113
