year,total,civilians,events,gdp
1989,0,0,0,932974411.917142
1990,0,0,0,649644826.800447
1991,1225,700,128,779981458.921489
1992,531,329,64,679997997.597117
1993,642,237,68,768812334.801762
1994,2097,1551,164,911915970.683484
1995,3194,1851,197,870758739.40678
1996,943,414,100,941742152.7098949
1997,1233,616,137,850218033.622007
1998,5155,1872,359,672375927.3471481
1999,4593,1627,199,669384768.87263
2000,856,546,59,635874002.198748
2001,73,23,19,1079478387.8357599
2002,1,1,1,1239004287.75607
2003,0,0,0,1371442565.69701
2004,0,0,0,1431208677.30352
2005,0,0,0,1627854494.80246
2006,0,0,0,1885112201.85278
2007,0,0,0,2158496872.85796
2008,0,0,0,2505458705.03338
2009,0,0,0,2489985963.16808
2010,0,0,0,2616610911.07222
2011,0,0,0,2942546781.0454803
2012,0,0,0,3801862611.36414
2013,0,0,0,4920343194.99339
2014,0,0,0,5015157815.73406
2015,0,0,0,4251779857.0134
2016,0,0,0,3668876080.33846
