year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,0.0
1991,0,0,0,0.0
1992,0,0,0,0.0
1993,0,0,0,0.0
1994,0,0,0,0.0
1995,0,0,0,21273055398.3017
1996,0,0,0,21480023016.9972
1997,0,0,0,20749140606.2425
1998,0,0,0,22125435372.187
1999,0,0,0,22689994990.1121
2000,0,0,0,20342201356.0052
2001,0,0,0,20875387068.1145
2002,0,0,0,23563576758.1047
2003,0,0,0,29697448108.2957
2004,0,0,0,34470227453.9113
2005,0,0,0,36346974008.2079
2006,0,0,0,39587732028.6037
2007,0,0,0,48114688201.4782
2008,0,0,0,55589849128.4605
2009,0,0,0,50244793831.6199
2010,0,0,0,48013606745.4803
2011,0,0,0,51290792018.1074
2012,0,0,0,46258247574.7506
2013,0,0,0,47688566993.1107
2014,0,0,0,49530147015.8794
2015,0,0,0,42776716631.0769
2016,0,0,0,43990635176.0523
