year,total,civilians,events,gdp
1989,0,0,0,332286760.858189
1990,0,0,0,302515026.890225
1991,0,0,0,320355090.61441
1992,2,2,1,378778047.197842
1993,0,0,0,410923236.189102
1994,0,0,0,464756638.512487
1995,0,0,0,519334096.714525
1996,0,0,0,565163750.5607901
1997,0,0,0,567919502.811483
1998,1,0,1,471177008.05714804
1999,14,2,6,482214092.30896395
2000,27,0,9,435103853.485036
2001,1,1,1,400463452.06517595
2002,0,0,0,341661643.551446
2003,0,0,0,332738245.913215
2004,0,0,0,375111894.932329
2005,0,0,0,413909879.28126496
2006,0,0,0,456705433.99697804
2007,0,0,0,516074228.95974904
2008,0,0,0,608293860.271816
2009,0,0,0,597765363.128492
2010,0,0,0,671585343.170686
2011,0,0,0,886498370.6960859
2012,0,0,0,1025125081.5749401
2013,0,0,0,1059695156.18795
2014,0,0,0,1156563122.85602
2015,0,0,0,1129164718.81436
2016,0,0,0,1202125000.0
