year,total,civilians,events,gdp
1989,284,80,221,128902675070.723
1990,1459,256,562,115553279480.54
1991,737,119,448,123943432441.241
1992,762,166,572,134545231416.55
1993,908,291,578,134309759157.81699
1994,508,93,260,139752450152.078
1995,143,0,39,155460285076.232
1996,156,0,37,147607982694.857
1997,30,0,20,152586154513.889
1998,44,0,23,137774361015.14
1999,19,0,11,136631966609.379
2000,0,0,1,136361854808.496
2001,0,0,0,121516070204.783
2002,2,2,3,115482368343.658
2003,0,0,0,175256916996.047
2004,0,0,4,228593566165.088
2005,0,0,0,257772710832.953
2006,0,0,0,271638484826.10898
2007,0,0,0,299415505152.29803
2008,0,0,0,286769839732.726
2009,0,0,0,295936485832.635
2010,1,1,1,375349396273.835
2011,0,0,0,416418862155.872
2012,0,0,0,396327771010.96204
2013,0,0,0,366623856821.78296
2014,0,0,0,350850571747.123
2015,0,0,0,317406594612.388
2016,3,0,2,294840648284.114
