year,total,civilians,events,gdp
1989,0,0,0,243526047716.915
1990,0,0,0,279349355713.801
1991,0,0,0,325734233312.87897
1992,0,0,0,350051111253.443
1993,0,0,0,386302839273.923
1994,0,0,0,455602962225.40295
1995,0,0,0,556130926912.754
1996,0,0,0,598099073901.423
1997,0,0,0,557503074772.151
1998,0,0,0,374241351752.483
1999,0,0,0,485248229336.65295
2000,0,0,0,561633125839.994
2001,0,0,0,533052076313.52704
2002,0,0,0,609020054512.465
2003,0,0,0,680520724062.403
2004,0,0,0,764880644710.649
2005,0,0,0,898137194716.188
2006,0,0,0,1011797457138.5
2007,0,0,0,1122679154632.41
2008,0,0,0,1002219052967.54
2009,0,0,0,901934953364.7109
2010,0,0,0,1094499338702.72
2011,0,0,0,1202463682633.85
2012,0,0,0,1222807284485.31
2013,0,0,0,1305604981271.91
2014,0,0,0,1411333926201.24
2015,0,0,0,1382764027113.82
2016,0,0,0,1411245589976.63
