year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,0.0
1991,0,0,0,0.0
1992,0,0,0,0.0
1993,0,0,0,0.0
1994,0,0,0,0.0
1995,0,0,0,0.0
1996,0,0,0,0.0
1997,0,0,0,0.0
1998,0,0,0,0.0
1999,0,0,0,0.0
2000,0,0,0,0.0
2001,0,0,0,0.0
2002,0,0,0,0.0
2003,0,0,0,0.0
2004,0,0,0,0.0
2005,0,0,0,0.0
2006,0,0,0,0.0
2007,0,0,0,0.0
2008,0,0,0,15550136278.8696
2009,0,0,0,12231362022.6859
2010,0,0,0,15727363443.0995
2011,1194,34,31,17826697892.2717
2012,864,92,59,10368813559.321999
2013,1802,914,99,13257635694.9153
2014,2476,899,124,13282084033.8983
2015,1136,449,98,9015221096.244741
2016,1172,260,58,0.0
