year,total,civilians,events,gdp
1989,17,1,12,413630538018.271
1990,19,3,10,535101248775.71
1991,44,9,22,575598537069.656
1992,23,3,15,629202392003.901
1993,12,1,6,523649481762.322
1994,11,3,9,529121577319.58795
1995,13,0,10,612939685081.398
1996,4,0,4,640998292394.588
1997,12,0,11,588692045454.545
1998,7,1,6,617041986858.225
1999,0,0,0,633194118900.49
2000,20,2,15,595402616546.895
2001,13,0,12,625975838926.175
2002,5,2,4,705145868624.13
2003,3,0,2,906853273137.698
2004,191,191,1,1069555500372.49
2005,0,0,0,1157276458151.97
2006,0,0,0,1264551499184.54
2007,0,0,0,1479341637010.68
2008,2,0,2,1634989014208.29
2009,3,0,2,1499074742984.16
2010,0,0,0,1431587612302.26
2011,1,1,1,1488017213511.01
2012,0,0,0,1335945712662.3
2013,0,0,0,1361775869855.87
2014,0,0,0,1375856057716.82
2015,0,0,0,1192955480686.43
2016,0,0,0,1232088185030.31
