year,total,civilians,events,gdp
1989,1288,490,192,6987267683.77254
1990,4840,1187,244,8032551173.240141
1991,6646,254,316,9000362581.58086
1992,4444,381,180,9703011635.86585
1993,2084,129,111,10338679635.7616
1994,712,33,80,11717604208.8223
1995,4971,340,252,13029697560.9756
1996,4097,187,120,13897738375.2488
1997,2902,54,135,15091913883.7091
1998,3830,117,179,15794972847.1683
1999,1948,70,184,15656327859.5696
2000,2569,69,177,16330814179.9766
2001,1162,45,136,15746229581.5619
2002,17,4,5,16536535647.0834
2003,33,1,23,18881765437.2151
2004,84,9,36,20662525941.2986
2005,130,12,83,24406252456.5141
2006,2173,363,229,28279814924.5918
2007,2564,104,488,32350248410.8216
2008,8453,249,1016,40713812309.7316
2009,10418,6830,387,42066217871.5349
2010,0,0,0,56725745039.336
2011,2,2,2,65292741296.5382
2012,0,0,0,68434399083.41
2013,5,5,1,74317806754.5267
2014,0,0,0,79356456990.2891
2015,0,0,0,80611989527.2158
2016,0,0,0,81321876307.2556
