year,total,civilians,events,gdp
1989,7515,1043,32,15291507936.5079
1990,5335,293,63,12408647540.9836
1991,4565,2304,30,11379222222.2222
1992,4314,3026,57,7034219712.52567
1993,6042,1671,78,8881785938.48085
1994,960,478,18,12794192334.2541
1995,1514,386,43,13829744878.6366
1996,2945,273,55,9018243044.45155
1997,4872,369,90,11681494637.3041
1998,5758,1344,126,11250327988.0478
1999,2067,129,64,10682045258.3647
2000,3535,367,71,12257418326.0734
2001,3720,214,75,13182979783.533
2002,3067,620,54,14803189092.7044
2003,5107,1966,106,17646503525.1743
2004,7393,3753,224,21457470202.7839
2005,1484,655,86,26524538565.7403
2006,2187,764,109,35822408611.5588
2007,1158,203,69,45898948564.0593
2008,1241,485,98,54526580231.5568
2009,2689,412,126,53150209167.934006
2010,1790,291,94,65634109236.7736
2011,2588,750,167,67327289319.733
2012,1525,252,115,68125631150.2939
2013,1935,89,139,72065940085.772
2014,1912,269,160,82151588418.8325
2015,2552,590,363,97156119150.0
2016,1969,779,244,95584380032.2061
