year,total,civilians,events,gdp
1989,0,0,0,542520000.0
1990,0,0,0,388300000.0
1991,0,0,0,448300000.0
1992,0,0,0,404600000.0
1993,0,0,0,428794117.64705896
1994,0,0,0,605492537.313433
1995,0,0,0,693970588.235294
1996,0,0,0,860630922.693267
1997,0,0,0,929607500.0
1998,0,0,0,945000000.0
1999,0,0,0,885444186.0465119
2000,0,0,0,892164393.939394
2001,0,0,0,763465550.458716
2002,0,0,0,1078402127.65957
2003,0,0,0,1271196078.43137
2004,0,0,0,1484092538.4052699
2005,0,0,0,1793754804.7003698
2006,0,0,0,2626380435.17877
2007,0,0,0,2936612021.8579197
2008,0,0,0,3532969034.60838
2009,0,0,0,3875409836.0655704
2010,0,0,0,4368398047.64333
2011,0,0,0,4422276621.787029
2012,0,0,0,4980000000.0
2013,0,0,0,5145757575.75758
2014,0,0,0,5240606060.60606
2015,0,0,0,4878731707.26948
2016,0,0,0,3620699735.1962
