year,total,civilians,events,gdp
1989,2,2,2,696915430.6630571
1990,0,0,0,1114703088.1614
1991,0,0,0,1156141998.33412
1992,0,0,0,1284766234.2216
1993,0,0,0,1357206995.7462401
1994,0,0,0,1419293454.99606
1995,0,0,0,1698982437.76019
1996,0,0,0,1602760100.4814699
1997,0,0,0,1716699913.1944401
1998,0,0,0,1576904292.4588
1999,0,0,0,1547884442.26205
2000,0,0,0,1738100848.09721
2001,0,0,0,1542477354.99355
2002,0,0,0,1432228172.7020001
2003,0,0,0,2197612760.58535
2004,0,0,0,2770082815.20915
2005,0,0,0,3178126547.9298
2006,0,0,0,3291353812.85535
2007,0,0,0,3469363931.16431
2008,0,0,0,3294093359.62088
2009,0,0,0,3580417156.54024
2010,0,0,0,4438778553.635329
2011,0,0,0,4820499498.18209
2012,0,0,0,4807282468.0268
2013,0,0,0,4575596300.78922
2014,0,0,0,4486261555.30421
2015,0,0,0,4137638726.69274
2016,0,0,0,3727303664.17403
