year,total,civilians,events,gdp
1989,0,0,0,214875344909.957
1990,0,0,0,258154283908.9
1991,0,0,0,270362531376.602
1992,0,0,0,280312318915.485
1993,0,0,0,209950792712.696
1994,0,0,0,226079963711.768
1995,0,0,0,264051981551.316
1996,0,0,0,288103936773.039
1997,0,0,0,264477727278.68103
1998,0,0,0,266800462898.904
1999,0,0,0,270847937645.23602
2000,0,0,0,259802012617.057
2001,0,0,0,239917320966.977
2002,0,0,0,263926220332.543
2003,0,0,0,331108912605.271
2004,0,0,0,381705425301.74603
2005,0,0,0,389042298376.845
2006,0,0,0,420032121655.688
2007,0,0,0,487816328342.30896
2008,0,0,0,513965650650.11896
2009,0,0,0,429657033107.73706
2010,0,0,0,488377689564.921
2011,0,0,0,563109663291.177
2012,0,0,0,543880647757.404
2013,0,0,0,578742001487.571
2014,0,0,0,573817719109.402
2015,0,0,0,495694356611.551
2016,0,0,0,510999796581.59705
