year,total,civilians,events,gdp
1989,0,0,0,201572650956.66
1990,0,0,0,257420293190.325
1991,0,0,0,260459896582.985
1992,0,0,0,271133679206.37198
1993,0,0,0,263691005481.862
1994,0,0,0,291913801052.862
1995,0,0,0,341759012938.68896
1996,0,0,0,329619351051.78
1997,0,0,0,286604024805.347
1998,0,0,0,294977518761.208
1999,0,0,0,289884127679.404
2000,0,0,0,271659728209.379
2001,0,0,0,278628772872.719
2002,0,0,0,301127808995.252
2003,0,0,0,351982634291.23
2004,0,0,0,393541693928.428
2005,0,0,0,407535656039.19
2006,0,0,0,429195591242.622
2007,0,0,0,477407802315.895
2008,0,0,0,551546962699.658
2009,0,0,0,539528229942.101
2010,0,0,0,581208562423.374
2011,0,0,0,696278717728.1371
2012,0,0,0,665054050620.785
2013,0,0,0,684835034384.327
2014,0,0,0,702705544908.583
2015,0,0,0,670789928809.8821
2016,0,0,0,659827235193.83
