year,total,civilians,events,gdp
1989,0,0,0,9853396225.58749
1990,0,0,0,12308624283.9787
1991,0,0,0,12981833333.3333
1992,0,0,0,13253565898.9558
1993,0,0,0,13695962019.2084
1994,0,0,0,10122020000.0
1995,0,0,0,11396706586.8263
1996,0,0,0,13789560878.2435
1997,0,0,0,14505233968.8716
1998,0,0,0,15200846138.4615
1999,0,0,0,15873875968.9922
2000,0,0,0,19325894913.1254
2001,0,0,0,21099833783.503002
2002,0,0,0,21582248881.6592
2003,0,0,0,21828144686.0394
2004,0,0,0,25086930693.0693
2005,0,0,0,28858965517.2414
2006,0,0,0,33332844574.7801
2007,0,0,0,40405006007.2086
2008,0,0,0,0.0
2009,0,0,0,0.0
2010,0,0,0,0.0
2011,0,0,0,0.0
2012,0,0,0,0.0
2013,0,0,0,0.0
2014,0,0,0,0.0
2015,0,0,0,0.0
2016,0,0,0,0.0
