year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,2629395066.2701697
1991,0,0,0,2534720480.3244
1992,3859,97,38,1909246640.8083801
1993,1045,143,34,1646693642.1108801
1994,366,10,31,1346074611.4779198
1995,368,6,46,1231523034.7839699
1996,2797,16,66,1043893062.60575
1997,97,0,10,921843144.229059
1998,600,20,19,1320126706.15503
1999,4,0,3,1086567377.6054301
2000,46,0,2,860550305.832491
2001,0,0,0,1080774007.25065
2002,0,0,0,1221113780.25397
2003,0,0,0,1554125530.8029
2004,0,0,0,2076148695.5058103
2005,1,0,1,2312319579.02843
2006,8,0,4,2830236053.84429
2007,0,0,0,3719497371.09659
2008,0,0,0,5161336170.46084
2009,17,0,7,4979481980.35098
2010,98,0,21,5642178579.58438
2011,28,0,5,6522732202.50748
2012,0,0,0,7633049792.093209
2013,3,0,2,8506674782.754709
2014,0,0,0,9236309138.04277
2015,0,0,0,7853450374.0001
2016,0,0,0,6951657158.900929
