year,total,civilians,events,gdp
1989,0,0,0,4420168102.39306
1990,0,0,0,4258743262.82876
1991,0,0,0,4956588278.5614395
1992,1,1,1,4601413263.52894
1993,0,0,0,4257702196.53864
1994,0,0,0,4510846967.8742
1995,0,0,0,5255221424.80962
1996,10,0,1,6496195450.61034
1997,10,0,1,7683852496.844991
1998,0,0,0,9345174219.072529
1999,0,0,1,9697847263.63196
2000,0,0,0,10185786382.8283
2001,37,37,7,10383560602.8537
2002,0,0,0,10805599892.7355
2003,0,0,0,11659129888.8021
2004,0,0,0,12825801580.9281
2005,0,0,0,16929976600.142
2006,0,0,0,18610460326.5437
2007,3,3,1,21501741757.483997
2008,0,0,0,27368386358.131
2009,0,0,0,28573777052.4542
2010,0,0,0,31407908612.0943
2011,0,0,0,33878631649.4157
2012,0,0,0,39087748240.4403
2013,0,0,0,44333456244.744
2014,0,0,0,48197218326.7942
2015,0,0,0,45628247290.4618
2016,0,0,0,47431038892.2441
