year,total,civilians,events,gdp
1989,203,6,5,72250877410.3183
1990,20,2,4,85343063965.9182
1991,2,2,1,98234695722.0341
1992,0,0,1,111452869378.467
1993,1,1,2,128889832382.81801
1994,1,0,1,146683499005.964
1995,12,3,7,169278552851.272
1996,1,0,1,183035154107.494
1997,7,6,3,150180268649.388
1998,12,0,4,113675706127.265
1999,1,1,1,126668932159.50801
2000,8,0,1,126392308497.74901
2001,25,0,3,120296746256.631
2002,23,0,1,134300851255.002
2003,26,1,16,152280653543.725
2004,310,149,126,172895476152.59198
2005,494,295,434,189318499954.00302
2006,541,345,445,221758486880.31302
2007,518,327,367,262942650543.77103
2008,328,181,224,291383081231.82
2009,258,126,169,281710095724.761
2010,218,141,155,341105009515.333
2011,277,133,177,370818747396.83295
2012,242,131,140,397559992407.45
2013,249,64,136,420528737876.71704
2014,100,42,71,406521561093.35706
2015,80,33,54,399234547137.47205
2016,67,30,47,406839679301.943
