year,total,civilians,events,gdp
1989,0,0,0,3062000000.0
1990,0,0,0,3166000000.0
1991,0,0,0,3111160000.0
1992,0,0,0,3109000000.0
1993,0,0,0,3092000000.0
1994,0,0,0,3259000000.0
1995,0,0,0,3429000000.0
1996,0,0,0,3609000000.0
1997,0,0,0,4961119000.0
1998,0,0,0,5353524000.0
1999,0,0,0,6019972000.0
2000,0,0,0,6327552000.0
2001,0,0,0,6516651000.0
2002,0,0,0,6957996000.0
2003,0,0,0,6949317000.0
2004,0,0,0,7094413000.0
2005,0,0,0,7706222000.0
2006,0,0,0,7965588000.0
2007,0,0,0,8318996000.0
2008,0,0,0,8247000000.0
2009,0,0,0,7820000000.0
2010,0,0,0,7910000000.0
2011,0,0,0,7890000000.0
2012,0,0,0,8399000000.0
2013,0,0,0,8522000000.0
2014,0,0,0,8618000000.0
2015,0,0,0,8854000000.0
2016,0,0,0,9047000000.0
