year,total,civilians,events,gdp
1989,0,0,0,1352949662.75172
1990,0,0,0,1628427515.41881
1991,63,0,4,1602299862.9243
1992,5,5,2,1692959110.18022
1993,48,48,3,1233496846.3349302
1994,0,0,0,982624324.505898
1995,0,0,0,1309382885.33029
1996,0,0,0,1465448290.34132
1997,0,0,0,1498950899.08774
1998,9,9,4,1587345950.9743
1999,0,0,0,1576094566.48548
2000,0,0,0,1294250233.18894
2001,0,0,0,1332328999.09077
2002,0,0,0,1474630207.0824199
2003,0,0,0,1673690429.61609
2004,0,0,0,1937074572.08687
2005,436,436,93,2115154262.03025
2006,0,0,0,2202809251.31304
2007,0,0,0,2523462557.38975
2008,0,0,0,3163416242.0587697
2009,0,0,0,3163000528.8167
2010,0,0,0,3172945644.5585
2011,0,0,0,3756023159.96
2012,0,0,0,3866617462.61854
2013,0,0,0,4080929201.27925
2014,0,0,0,4482880424.33988
2015,0,0,0,4087628275.95594
2016,0,0,0,4399995986.564771
