year,total,civilians,events,gdp
1989,0,0,0,4323058823.52941
1990,39,0,3,5068000000.0
1991,0,0,0,5307905882.35294
1992,0,0,0,5439552941.176471
1993,0,0,0,4669488516.37981
1994,0,0,0,4947205860.01451
1995,0,0,0,5329214163.22001
1996,0,0,0,5759537726.26601
1997,0,0,0,5737751331.63779
1998,0,0,0,6043694330.21609
1999,0,0,0,6808982520.75759
2000,0,0,0,8154338232.95978
2001,0,0,0,8824873259.32105
2002,0,0,0,9008273720.93395
2003,0,0,0,11305459802.0683
2004,0,0,0,13280275123.0354
2005,0,0,0,15982282462.3786
2006,0,0,0,18369070085.3888
2007,0,0,0,21642304045.512
2008,0,0,0,27870257894.2347
2009,0,0,0,19175196445.7936
2010,0,0,0,22157948396.2042
2011,0,0,0,25433011405.3017
2012,0,0,0,25694164489.2373
2013,0,0,0,26436221401.2976
2014,0,0,0,26175906133.4665
2015,0,0,0,23559287483.9276
2016,0,0,0,20989155539.8436
