year,total,civilians,events,gdp
1989,0,0,0,10102075213.3151
1990,0,0,0,12290568181.8182
1991,0,0,0,13074782608.6957
1992,0,0,0,15497286295.7938
1993,0,0,0,14608946896.483
1994,0,0,0,15632463424.2784
1995,0,0,0,18030876599.3444
1996,0,0,0,19587322786.1105
1997,0,0,0,20746360430.4187
1998,0,0,0,21803372266.6198
1999,0,0,0,22943685719.102997
2000,0,0,0,21473188881.5933
2001,0,0,0,22066101341.4888
2002,0,0,0,23142294436.2383
2003,0,0,0,27453084982.5378
2004,0,0,0,31183139301.4853
2005,0,0,0,32273007553.5687
2006,0,0,0,34378437265.2141
2007,0,0,0,38908069299.204
2008,0,0,0,44856586316.0458
2009,0,0,0,43454935940.1614
2010,0,0,0,44050929160.2627
2011,0,0,0,45810626509.4474
2012,0,0,0,45044176963.9542
2013,0,0,0,46255308672.3703
2014,0,0,0,47603227896.5659
2015,59,59,2,43156606851.5498
2016,0,0,0,42062549394.7859
