year,total,civilians,events,gdp
1989,273,52,62,107143348667.09401
1990,312,64,69,150676291094.21
1991,395,59,134,150027833333.333
1992,1779,260,329,158459130434.78302
1993,2529,427,482,180169736363.63602
1994,4076,229,613,130690172297.297
1995,3112,100,517,169485941048.035
1996,3300,32,332,181475555282.555
1997,2298,19,271,189834649111.257
1998,1943,27,235,275768695818.949
1999,1155,34,250,255884300382.04398
2000,121,0,25,272979390595.01
2001,81,1,19,200254104151.474
2002,25,1,15,238423907922.754
2003,79,4,29,311825946795.01697
2004,193,11,115,404776328437.599
2005,365,12,175,501422832613.55396
2006,224,17,93,552504962256.438
2007,460,13,132,675754121015.013
2008,431,8,110,764322933264.927
2009,126,9,44,644656538878.423
2010,204,6,64,771876943465.616
2011,425,56,121,832546462299.5641
2012,744,12,127,873981840596.288
2013,19,0,4,950595641011.8359
2014,10,0,7,934167774215.0309
2015,1053,184,228,859383637728.94
2016,1544,349,224,857748989287.6421
