year,total,civilians,events,gdp
1989,0,0,0,3006988216.55045
1990,0,0,0,3189539641.3171
1991,0,0,0,3208098919.0146
1992,0,0,0,3200539816.0601
1993,0,0,0,3179225948.58114
1994,0,0,0,2561118608.35516
1995,0,0,0,2482228439.71407
1996,0,0,0,2379281767.9558
1997,0,0,0,2450084970.2474103
1998,0,0,0,2605688065.08338
1999,0,0,0,2450686659.778
2000,0,0,0,2904662604.82053
2001,0,0,0,3534771968.51189
2002,0,0,0,4462028988.72949
2003,0,0,0,5977440582.80171
2004,0,0,0,6838351088.46688
2005,0,0,0,8104355716.8784
2006,0,0,0,10277598152.4249
2007,0,0,0,12664165103.1895
2008,0,0,0,19271523178.8079
2009,0,0,0,20214385964.9123
2010,0,0,0,22583157894.7368
2011,0,0,0,29233333333.3333
2012,0,0,0,35164210526.3158
2013,0,0,0,39197543859.6491
2014,0,0,0,43524210526.3158
2015,0,0,0,35799628571.4286
2016,0,0,0,36179885714.2857
