year,total,civilians,events,gdp
1989,1057,58,25,5276480985.999371
1990,809,204,34,4304398865.88268
1991,1018,163,21,3321729057.12215
1992,76,0,4,2857457860.05088
1993,0,0,0,3220439044.18949
1994,160,37,18,3990430446.71216
1995,537,285,20,5755818947.42125
1996,1765,646,119,6044585326.938001
1997,1354,629,77,6269333313.17108
1998,1220,361,122,6584815846.52754
1999,1044,305,91,5998563257.946589
2000,1229,172,116,6193246837.09687
2001,212,67,55,5840503868.57245
2002,1319,642,164,6178563590.89254
2003,1627,694,193,6336696288.98214
2004,2009,818,251,7940362799.179971
2005,922,279,221,9013834373.41246
2006,334,63,98,9942597779.99265
2007,156,20,21,12292813603.2327
2008,32,1,8,14239026629.639
2009,60,21,6,21203769124.656002
2010,74,74,1,20179411062.934
2011,0,0,0,20508595015.4506
2012,0,0,0,23516083900.4013
2013,0,0,0,24879053946.9135
2014,7,7,1,27927875335.8068
2015,0,0,0,27856380083.2478
2016,30,0,2,25527910090.6285
