year,total,civilians,events,gdp
1989,0,0,0,82709161099.1244
1990,0,0,0,81456918678.5008
1991,0,0,0,77464561149.5103
1992,0,0,0,73942235330.437
1993,0,0,0,65648559903.0571
1994,0,0,0,52549555149.1978
1995,0,0,0,48213868178.0873
1996,0,0,0,44558077827.135
1997,0,0,0,50150399791.647
1998,0,0,0,41883241471.7365
1999,0,0,0,31580639045.454
2000,0,0,0,31261527363.143997
2001,0,0,0,38009344576.6088
2002,0,0,0,42392896031.2394
2003,0,0,0,50132953288.202995
2004,0,0,0,64883060725.7003
2005,0,0,0,86142018069.3504
2006,0,0,0,107753069306.931
2007,0,0,0,142719009900.99
2008,0,0,0,179992405832.321
2009,0,0,0,117227769791.56
2010,0,0,0,136013155905.036
2011,0,0,0,163159671670.265
2012,0,0,0,175781379051.433
2013,0,0,0,183310146378.08102
2014,4398,902,269,133503411375.739
2015,1304,390,252,91030959454.6961
2016,255,35,123,93270479388.5243
