year,total,civilians,events,gdp
1989,0,0,0,41464995913.9199
1990,0,0,0,50701443748.2975
1991,0,0,0,51552165622.4462
1992,0,0,0,54239171887.769005
1993,0,0,0,55625170253.337006
1994,0,0,0,59305093979.842
1995,0,0,0,65743666575.8649
1996,0,0,0,73571233996.1863
1997,0,0,0,78839008444.5655
1998,0,0,0,75674336283.1858
1999,0,0,0,84445473110.9598
2000,0,0,0,104337372362.151
2001,0,0,0,103311640571.81801
2002,0,0,0,109816201497.61699
2003,0,0,0,124346358066.71199
2004,0,0,0,147824370319.94598
2005,0,0,0,180617018379.85
2006,0,0,0,222116541865.214
2007,0,0,0,257916133424.09802
2008,0,0,0,315474615738.598
2009,0,0,0,253547358747.447
2010,1,0,1,289880430197.25
2011,0,0,0,350908390046.35803
2012,0,0,0,374817974113.476
2013,0,0,0,390427289210.786
2014,0,0,0,403197682887.71704
2015,0,0,0,357949199759.586
2016,0,0,0,348743265715.395
