year,total,civilians,events,gdp
1989,41,8,27,926884816753.927
1990,47,10,32,1093169389204.55
1991,38,13,32,1142797178130.51
1992,39,23,30,1179659529659.53
1993,47,33,34,1061388722255.55
1994,16,10,16,1140489745944.29
1995,0,0,0,1320255641470.73
1996,2,0,2,1392979719188.77
1997,5,2,4,1537090700720.37
1998,31,31,3,1623564094070.88
1999,0,0,0,1652167933991.26
2000,1,1,1,1635441065214.1
2001,1,1,1,1613034403339.57
2002,3,3,4,1757571942446.04
2003,1,1,2,2028488163265.31
2004,1,1,1,2389004027828.63
2005,53,53,2,2508103636363.64
2006,0,0,1,2678277828886.84
2007,0,0,0,3063005202080.83
2008,0,0,0,2875463235294.12
2009,2,0,2,2367127278392.27
2010,0,0,0,2429680444512.61
2011,1,0,1,2608824654243.59
2012,0,0,0,2646002634059.62
2013,0,0,0,2719509472492.7
2014,0,0,0,2998833559195.71
2015,0,0,0,2861090726739.55
2016,0,0,0,2618885692029.18
