year,total,civilians,events,gdp
1989,0,0,0,5657693000000.0
1990,0,0,0,5979589000000.0
1991,0,0,0,6174043000000.0
1992,0,0,0,6539299000000.0
1993,0,0,0,6878718000000.0
1994,0,0,0,7308755000000.0
1995,0,0,0,7664060000000.0
1996,0,0,0,8100201000000.0
1997,0,0,0,8608515000000.0
1998,0,0,0,9089168000000.0
1999,0,0,0,9660624000000.0
2000,0,0,0,10284779000000.0
2001,2986,2862,3,10621824000000.0
2002,0,0,0,10977514000000.0
2003,0,0,0,11510670000000.0
2004,0,0,0,12274928000000.0
2005,0,0,0,13093726000000.0
2006,0,0,0,13855888000000.0
2007,0,0,0,14477635000000.0
2008,0,0,0,14718582000000.0
2009,0,0,0,14418739000000.0
2010,0,0,0,14964372000000.0
2011,0,0,0,15517926000000.0
2012,0,0,0,16155255000000.0
2013,0,0,0,16691517000000.0
2014,0,0,0,17393103000000.0
2015,14,14,1,18036648000000.0
2016,0,0,0,18569100000000.0
