year,total,civilians,events,gdp
1989,0,0,0,8438951476.066441
1990,0,0,0,9298839655.23139
1991,0,0,0,11206193313.0458
1992,0,0,0,12878157305.7481
1993,0,0,0,15002144584.3663
1994,0,0,0,17474578502.4346
1995,0,0,0,19297663096.5506
1996,0,0,0,20515465834.0682
1997,0,0,0,23969746849.9221
1998,0,0,0,25385928198.3212
1999,0,0,0,23983945190.6202
2000,0,0,0,22823255801.8447
2001,0,0,0,20898788416.6348
2002,0,0,0,13606494599.4261
2003,0,0,0,12045631092.5353
2004,0,0,0,13686329890.1191
2005,0,0,0,17362857683.8545
2006,0,0,0,19579457966.0538
2007,0,0,0,23410572621.532997
2008,0,0,0,30366213095.4256
2009,0,0,0,31660911290.3226
2010,0,0,0,40284481661.8726
2011,0,0,0,47962439293.3697
2012,0,0,0,51264390121.4144
2013,0,0,0,57531233350.9101
2014,0,0,0,57236013077.5187
2015,0,0,0,53274304214.8174
2016,0,0,0,52419720713.7316
