year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,13360607990.6751
1991,0,0,0,13677622222.2222
1992,0,0,0,12941297376.0933
1993,0,0,0,13099013835.5111
1994,0,0,0,12899156990.6156
1995,0,0,0,13350468917.4115
1996,0,0,0,13948892215.5689
1997,0,0,0,14744603773.5849
1998,0,0,0,14988971210.8383
1999,50,5,6,17078465982.0282
2000,297,0,16,13760374487.51
2001,0,0,0,11401351420.1718
2002,0,0,0,9687951055.225409
2003,0,0,0,10128112401.4248
2004,37,2,8,12030023547.8807
2005,0,0,0,14307509838.8053
2006,0,0,0,17330833852.919
2007,0,0,0,22311393927.8817
2008,0,0,0,29549438883.8338
2009,16,0,2,33689223673.2577
2010,0,0,0,39332770928.9426
2011,0,0,0,45915191189.3237
2012,0,0,0,51821573338.1312
2013,0,0,0,57690453460.6205
2014,0,0,0,63067077178.5381
2015,0,0,0,66903804142.5395
2016,0,0,0,67220335569.6147
