year,total,civilians,events,gdp
1989,0,0,0,144482170.248703
1990,0,0,0,158397403.041175
1991,0,0,0,188869985.673352
1992,0,0,0,196142585.014816
1993,0,0,0,188080374.400605
1994,0,0,0,219260341.05064198
1995,0,0,0,233902114.8683
1996,0,0,0,245177633.168933
1997,0,0,0,255890221.80029303
1998,0,0,0,262301252.76922798
1999,0,0,0,267999225.256634
2000,0,0,0,272014693.050806
2001,0,0,0,257926881.72043
2002,0,0,0,262603781.79905897
2003,0,0,0,314463144.04219
2004,0,0,0,364996869.129618
2005,0,0,0,394962552.336108
2006,0,0,0,439376794.094041
2007,0,0,0,526428309.94508797
2008,0,0,0,607958616.1434151
2009,0,0,0,610066628.693058
2010,0,0,0,700804286.224354
2011,0,0,0,792149700.679116
2012,0,0,0,781702874.106058
2013,0,0,0,801787555.8611209
2014,0,0,0,814954306.971033
2015,0,0,0,742432131.0410019
2016,0,0,0,773502895.9276019
