year,total,civilians,events,gdp
1989,0,0,0,6293304840.51995
1990,0,0,0,6471740490.99897
1991,0,0,0,9613369548.20359
1992,0,0,0,9866990092.18743
1993,0,0,0,13180953965.6854
1994,0,0,0,16286434068.4834
1995,0,0,0,20736163924.0492
1996,0,0,0,24657470352.545
1997,0,0,0,26843701147.496002
1998,0,0,0,27209601995.8245
1999,0,0,0,28683657995.128
2000,0,0,0,33640085738.648
2001,0,0,0,35291349197.4254
2002,0,0,0,37947904054.452
2003,0,0,0,42717072869.3917
2004,0,0,0,49424107709.8946
2005,0,0,0,57633255618.2731
2006,0,0,0,66371664817.0436
2007,0,0,0,77414425532.2452
2008,0,0,0,99130304099.1274
2009,0,0,0,106014601171.036
2010,0,0,0,115931749697.241
2011,0,0,0,135539487317.00801
2012,0,0,0,155820001920.492
2013,0,0,0,171222025117.38098
2014,0,0,0,186204652922.262
2015,0,0,0,193241108709.536
2016,0,0,0,202615893443.73
