year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,0.0
1991,0,0,0,0.0
1992,0,0,0,0.0
1993,0,0,0,0.0
1994,0,0,0,2843300000.0
1995,0,0,0,3282800000.0
1996,0,0,0,3409600000.0
1997,0,0,0,3759800000.0
1998,0,0,0,4067800000.0
1999,0,0,0,4271200000.0
2000,0,0,0,4313600000.0
2001,0,0,0,4003700000.0
2002,0,0,0,3555800000.0
2003,0,0,0,3968000000.0
2004,0,0,0,4329200000.0
2005,0,0,0,4831800000.0
2006,0,0,0,4910100000.0
2007,0,0,0,5505800000.0
2008,0,0,0,6673500000.0
2009,0,0,0,7268200000.0
2010,0,0,0,8913100000.0
2011,0,0,0,10465400000.0
2012,0,0,0,11279400000.0
2013,0,0,0,12476000000.0
2014,0,0,0,12715600000.0
2015,0,0,0,12673000000.0
2016,0,0,0,13397100000.0
