year,total,civilians,events,gdp
1989,0,0,0,0.0
1990,0,0,0,5647251908.39695
1991,0,0,0,5930370370.37037
1992,0,0,0,6463649985.0164795
1993,0,0,0,5368270614.8468
1994,1489,308,72,4167356037.1517
1995,0,0,0,4258788725.44991
1996,0,0,0,5785685310.86668
1997,0,0,0,6839039029.748
1998,0,0,0,6325219772.93811
1999,0,0,0,7641101221.43876
2000,0,0,0,9636342274.82408
2001,0,0,0,9854042164.67463
2002,0,0,0,10693278291.8149
2003,6,0,1,11777768086.8693
2004,28,0,1,13873500887.5612
2005,0,0,0,16753769531.6987
2006,0,0,0,19081722875.3022
2007,0,0,0,21656517484.2538
2008,21,7,2,26910851361.7555
2009,94,41,5,25130274124.2524
2010,201,3,63,30906749533.221
2011,1285,131,213,32726417878.391003
2012,2345,48,249,35401339869.3055
2013,582,35,126,40415233436.1767
2014,2120,77,271,43228583935.0365
2015,6984,1475,447,37733919936.2465
2016,3154,591,205,27317605346.0714
