year,total,civilians,events,gdp
1989,14,14,2,3998637681.1594205
1990,32,32,6,3285217391.30435
1991,0,0,0,3378882352.94118
1992,0,0,0,3181921787.7095
1993,1,1,1,3273237853.3568897
1994,0,0,0,3656647744.2485795
1995,0,0,0,3807067121.8609
1996,0,0,0,3597220962.00017
1997,0,0,0,4303281932.29365
1998,0,0,0,3537683046.02331
1999,0,0,0,3404311976.5494103
2000,1,1,1,3600683039.7325397
2001,7,7,2,4094480988.1193104
2002,0,0,0,4193845678.1703296
2003,0,0,0,4901839731.26571
2004,0,0,0,6221077674.77871
2005,0,0,0,8331870169.149771
2006,0,0,0,12756858899.2812
2007,0,0,0,14056957976.2648
2008,0,0,0,17910858637.9048
2009,0,0,0,15328342303.9575
2010,0,0,0,20265556273.582
2011,0,0,0,23460098339.7453
2012,0,0,0,25503370699.2015
2013,0,0,0,28045460442.1876
2014,0,0,0,27150630607.2032
2015,0,0,0,21154394545.895
2016,0,0,0,19551093303.3377
