year,total,civilians,events,gdp
1989,18,18,2,8286322700.0
1990,14,14,3,8783816700.0
1991,0,0,0,8641481700.0
1992,0,0,0,6751472200.0
1993,0,0,0,6563813300.0
1994,0,0,0,6890675000.0
1995,4,1,2,7111270700.0
1996,0,0,0,8553146600.0
1997,0,0,0,8529571600.0
1998,1,1,1,6401968200.0
1999,1,1,1,6858013100.0
2000,0,0,0,6689957600.0
2001,0,0,1,6777384700.0
2002,0,0,0,6342116400.0
2003,0,0,1,5727591800.0
2004,0,0,0,5805598400.0
2005,0,0,0,5755215200.0
2006,0,0,0,5443896500.0
2007,0,0,2,5291950100.0
2008,253,253,40,4415702800.0
2009,0,0,1,8366794000.0
2010,0,0,0,10052045200.0
2011,1,1,1,12071733500.0
2012,1,1,1,14058378300.0
2013,0,0,0,15223528900.0
2014,0,0,0,15834069900.0
2015,0,0,0,16072380200.0
2016,0,0,0,16289212000.0
