deaths_civilians,latitude,longitude,year,country
300559,-2.0,30.0,1994,Rwanda
40000,-2.6117,29.644000000000002,1994,Rwanda
27500,-2.6465,29.5591,1994,Rwanda
20000,-2.178985,29.341217999999998,1994,Rwanda
16890,-2.0,30.0,1994,Rwanda
12000,-2.333333,29.533333000000002,1994,Rwanda
11170,-2.164444,30.541944,1994,Rwanda
10000,-2.178985,29.341217999999998,1994,Rwanda
10000,-2.6995,29.7489,1994,Rwanda
8106,44.106389,19.296944,1995,Bosnia-Herzegovina
5500,-2.7428,29.6019,1994,Rwanda
5000,-2.187778,30.748889000000002,1994,Rwanda
5000,-2.1625,30.100278000000003,1994,Rwanda
4200,-2.0,30.0,1994,Rwanda
4000,-2.6465,29.5591,1995,Rwanda
3730,-1.7691720000000002,30.38246,1994,Rwanda
3200,-1.416667,28.05,1996,DR Congo (Zaire)
3000,44.872778000000004,18.808332999999998,1992,Bosnia-Herzegovina
2753,40.712777,-74.005833,2001,United States of America
2600,39.928889,116.388333,1989,China
2478,5.17381,6.29974,1999,Nigeria
2300,-2.0,30.0,1997,Rwanda
2000,-2.7788,29.5208,1994,Rwanda
2000,36.700067,67.116647,1998,Afghanistan
2000,-2.673353,29.492546,1994,Rwanda
2000,-2.055556,29.349721999999996,1994,Rwanda
2000,-2.0680560000000003,29.766111,1994,Rwanda
2000,-1.953611,30.060556,1994,Rwanda
2000,-0.28428600000000004,20.885094,1997,DR Congo (Zaire)
2000,-2.055556,29.349721999999996,1994,Rwanda
2000,-2.044444,29.587778000000004,1994,Rwanda
2000,-2.7756,29.7359,1994,Rwanda
1942,33.0,44.0,1991,Iraq
1750,-1.953611,30.060556,1994,Rwanda
1691,36.700067,67.116647,1998,Afghanistan
1600,-2.5109,29.6675,1994,Rwanda
1589,-1.06,29.49,1996,DR Congo (Zaire)
1500,-1.6519439999999999,28.876944,1996,DR Congo (Zaire)
1500,-3.16667,28.25,1996,DR Congo (Zaire)
1360,6.233333,31.566667,1991,Sudan
1256,-3.16667,28.25,1996,DR Congo (Zaire)
1200,1.432,30.03342,2002,DR Congo (Zaire)
1180,-1.9323,30.3332,1994,Rwanda
1100,-2.5912,29.719,1994,Rwanda
1000,-1.38,29.02,1996,DR Congo (Zaire)
1000,9.321175,80.771919,2009,Sri Lanka
1000,8.0,32.0,1992,Sudan
1000,-2.9278,28.5314,1998,DR Congo (Zaire)
1000,7.26111,-9.35333,1994,Liberia
1000,12.6063,32.8357,1989,Sudan
1000,6.870833,-10.817222000000001,1996,Liberia
900,-2.002022,30.559569,1994,Rwanda
900,6.148611,-10.383611,1990,Liberia
887,-3.4,29.133333,1996,DR Congo (Zaire)
851,-2.8191669999999998,28.941389,1996,DR Congo (Zaire)
830,-1.183333,29.45,1996,DR Congo (Zaire)
800,-3.544167,29.151389,1998,DR Congo (Zaire)
800,8.286944,-10.084444,2002,Liberia
800,4.0913889999999995,30.678611,1998,Sudan
800,4.366667,18.583333,2013,Central African Republic
766,34.531094,69.162796,1992,Afghanistan
756,43.3058,45.7477,1999,Russia (Soviet Union)
700,34.531094,69.162796,1992,Afghanistan
700,36.700067,67.116647,1998,Afghanistan
700,-2.1,28.916666999999997,1996,DR Congo (Zaire)
700,-2.101944,30.034167,1994,Rwanda
687,-3.7833,29.1,1996,DR Congo (Zaire)
670,36.335,43.118889,2014,Iraq
648,-2.740512,29.005256,1996,DR Congo (Zaire)
615,-3.1844189999999997,29.156579999999998,1996,DR Congo (Zaire)
600,0.15,29.283333000000002,1998,DR Congo (Zaire)
600,11.103593,13.712982,2014,Nigeria
600,6.310556,-10.804722,1990,Liberia
600,35.641366,64.279081,1998,Afghanistan
600,6.830169000000001,31.27508,1991,Sudan
600,-1.183333,29.45,1996,DR Congo (Zaire)
600,6.2797220000000005,-10.3475,1993,Liberia
560,5.5602800000000006,-9.546389999999999,1995,Liberia
550,8.286944,-10.084444,2003,Liberia
541,-2.98,29.18,1996,DR Congo (Zaire)
539,-1.621361,29.484841999999997,1997,Rwanda
527,-3.4,29.133333,1996,DR Congo (Zaire)
522,15.5,-90.25,1990,Guatemala
520,36.335,43.118889,2007,Iraq
518,43.318000000000005,45.6982,2000,Russia (Soviet Union)
500,-2.7,27.333333000000003,1997,DR Congo (Zaire)
500,-2.1,28.916666999999997,1996,DR Congo (Zaire)
500,36.192572999999996,44.01062,1991,Iraq
500,7.3133300000000006,-9.514439999999999,1994,Liberia
500,10.0,44.5,1989,Somalia
500,-1.7077779999999998,28.110556,1996,DR Congo (Zaire)
500,2.066667,45.366667,1990,Somalia
500,-1.4,28.816667,1996,DR Congo (Zaire)
500,5.3333330000000005,-8.666667,1994,Liberia
500,8.966667,-79.533333,1989,Panama
500,2.066667,45.366667,1991,Somalia
500,-2.799819,28.632892,1996,DR Congo (Zaire)
500,-1.45,29.566667,1991,Rwanda
500,-1.815,30.4881,1994,Rwanda
500,0.321542,25.255272,1997,DR Congo (Zaire)
476,-2.6,29.7255,1994,Rwanda
460,-1.44,29.1,1996,DR Congo (Zaire)
435,-2.8630560000000003,29.059167,1996,DR Congo (Zaire)
430,-3.4114,29.4785,1995,Burundi
424,8.25,34.583333,2003,Ethiopia
420,-2.983333,29.1,1996,DR Congo (Zaire)
418,-3.1844189999999997,29.156579999999998,1996,DR Congo (Zaire)
403,33.340582,44.400876000000004,1991,Iraq
400,-2.852778,30.219444,1995,Burundi
400,-2.799819,28.632892,1996,DR Congo (Zaire)
400,-3.364722,29.852221999999998,1996,Burundi
400,-4.329722,15.315,1998,DR Congo (Zaire)
400,-2.6038,29.7431,1994,Rwanda
400,-2.676111,29.856111,1994,Rwanda
387,8.293333,-9.634167,1990,Liberia
385,36.320901,41.876562,2014,Iraq
380,1.6,19.116667,1999,DR Congo (Zaire)
376,12.37066,14.217310000000001,2014,Nigeria
370,-1.9388,29.625999999999998,1991,Rwanda
370,6.694194,-10.87444,1992,Liberia
369,5.3,-7.5,2003,Liberia
363,15.5,-90.25,1989,Guatemala
356,33.91667,76.66667,2000,India
350,-2.1,28.916666999999997,1996,DR Congo (Zaire)
350,4.042222,32.797778,2002,Sudan
350,-1.184167,29.448889,1996,DR Congo (Zaire)
350,34.821781,67.82502,1998,Afghanistan
350,36.66667,69.75,1993,Afghanistan
350,43.318000000000005,45.6982,2000,Russia (Soviet Union)
348,-1.9388,29.625999999999998,1990,Rwanda
340,1.4491969999999998,30.486939000000003,2003,DR Congo (Zaire)
337,2.41667,32.94278,2004,Uganda
336,9.233333,29.833333000000003,2014,South Sudan
334,-1.183333,29.45,1997,DR Congo (Zaire)
334,-3.4,29.133333,1996,DR Congo (Zaire)
324,33.340582,44.400876000000004,2016,Iraq
317,7.908333,31.889444,1993,Sudan
313,33.340582,44.400876000000004,1991,Iraq
310,-1.531944,28.791944,1996,DR Congo (Zaire)
308,15.5,-90.25,1991,Guatemala
306,48.15,38.65,2014,Ukraine
304,-3.233333,29.913889,1996,Burundi
