country,deaths,latitude,longitude
Afghanistan,148973,33.0,65.0
Albania,6,42.198056,20.473889
Algeria,17707,34.849686,-1.72753
Angola,31784,-12.292222,13.850556
Argentina,0,-34.603333,-58.381667
Armenia,146,38.866667,46.2
Azerbaijan,3657,39.66667,47.0
Bahrain,26,26.236111,50.583056
Bangladesh,1024,21.81318,92.36807
Belgium,34,50.833333,4.333333
Bhutan,0,27.5,90.5
Bolivia,33,-19.26667,-66.41667
Bosnia-Herzegovina,23265,44.0,18.0
Botswana,1,-24.637418,26.405007
Brazil,730,-22.90278,-43.2075
Burkina Faso,25,12.370278,-1.524722
Burundi,15140,-3.116667,29.4
Cambodia,4347,14.390857,104.68059
Cameroon,2952,4.1527,9.241
Canada,81,54.0,-72.0
Central African Republic,7771,8.416667,20.666667
Chad,8716,20.33333,16.66667
China,2758,25.0,101.5
Colombia,20649,2.500739,-76.874753
Comoros,56,-11.704167,43.240278
Congo,15456,-3.6625,14.514722
Croatia,1224,45.1667,15.5
Democratic Republic of the Congo,93702,0.0,25.0
Djibouti,244,11.5,42.5
Ecuador,58,-1.66667,-76.83333
Egypt,2197,27.033333,31.316667
El Salvador,4684,14.183333,-89.05
Eritrea,5334,15.0,39.0
Ethiopia,91678,9.02497,38.74689
France,232,48.866667,2.333333
Georgia,2520,42.227636,43.968608
Germany,17,52.37052,9.73322
Ghana,2374,8.696286,-0.135719
Guatemala,2636,14.305,-90.785
Guinea,1082,8.583333,-10.333333
Guinea-Bissau,655,12.166667,-14.666667
Guyana,29,4.8,-58.24
Haiti,625,18.53917,-72.335
Honduras,215,14.1,-87.216667
India,43141,26.665401,95.188323
Indonesia,7434,4.81,97.895
Iran,995,36.155278,45.478889
Iraq,93627,33.746595,44.643663
Israel,7291,31.516667,34.45
Italy,0,41.9,12.5
Ivory Coast,2366,5.341111,-4.028056
Jamaica,137,18.25,-77.5
Jordan,77,31.95,35.933333
Kenya,4117,3.116667,35.6
Kuwait,1646,29.3375,47.6581
Kyrgyzstan,167,39.833333,71.0
Laos,357,19.363349,103.434411
Lebanon,4592,34.436667,35.849722
Lesotho,60,-29.5,28.25
Liberia,22228,8.278611,-10.280556
Libya,5149,32.375352,15.092543
Macedonia,40,41.8333,22.0
Madagascar,180,-14.266667,50.166667
Malaysia,61,4.596427,118.864566
Mali,2839,19.45,0.366667
Malta,0,35.912222,14.504167
Mauritania,158,20.485466,-6.059545
Mexico,18980,26.95076,-106.349286
Moldova,507,47.0,29.5
Morocco,192,25.0,-13.5
Mozambique,5420,-15.87683,34.124508
Myanmar (Burma),11257,18.25,96.25
Namibia,33,-22.0,17.0
Nepal,10517,26.648,88.16005
Netherlands,2,51.19417,5.9875
Nicaragua,397,11.998513,-84.779085
Niger,1462,16.804722,5.644167
Nigeria,43099,8.97099,11.9768
Pakistan,35210,25.379167,68.368333
Panama,606,8.966667,-79.533333
Papua New Guinea,449,-5.866667,143.533333
Paraguay,150,-25.29389,-57.611111
Peru,5419,-3.546052,-78.247614
Philippines,12473,12.782008,123.952024
Qatar,0,25.286667,51.533333
Rumania,439,46.166667,21.316667
Russia,18806,43.1,46.883333
Rwanda,519671,-1.953611,30.060556
Saudi Arabia,311,24.653664,46.71522
Senegal,1750,12.883333,-14.95
Serbia (Yugoslavia),4810,44.0,21.0
Sierra Leone,18042,9.2,-10.95
Solomon Islands,40,-7.05,155.75
Somalia,38349,2.066667,45.366667
South Africa,3970,-29.133711,31.397521
South Sudan,7564,6.66885,31.47625
Spain,234,43.366667,-3.016667
Sri Lanka,50431,7.033333,80.016667
Sudan,64044,5.033333,32.45
Swaziland,2,-26.55,31.01667
Tajikistan,7180,38.56,68.773889
Tanzania,61,-2.512222,30.655833
Thailand,2732,14.833333,104.333333
Togo,561,6.131944,1.222778
Trinidad and Tobago,39,10.65,-61.5167
Tunisia,59,36.806112,10.171078
Turkey,22570,36.71111,38.9475
Uganda,15550,3.628056,31.753611
Ukraine,4616,50.45,30.52333
United Arab Emirates,1,25.258172,55.304717
United Kingdom,208,54.9981,-7.30934
United States of America,2944,40.712777,-74.005833
Uzbekistan,212,38.0,67.5
Venezuela,921,8.0,-66.0
Yemen,11885,15.354722,44.206667
Zambia,55,-14.25,31.333333
Zimbabwe,293,-18.0,32.833333
